Chemical Name;Chemical ID;CAS RN;Disease Name;Disease ID;Direct Evidence;Inference Network;Inference Score;Reference Count;;;;;;;;;;;
cobaltiprotoporphyrin;C007095;14325-03-2;Arthritis, Rheumatoid;MESH:D001172;;ADIPOQ|CAT|CD83|COL2A1|CRP|CXCL2|CXCL8|FASLG|IFNG|IGFBP3|IL10|IL18|IL1B|IL23A|IL6|IRAK1|MMP2|MPO|NCF1|PTGS1|PTGS2|RUNX2|SOD2|STAT1|TLR2|TNF|TNFRSF11B|TRAF6|VEGFA;83.29;25;;;;;;;;;;;
acetamide;C030686;60-35-5;Arthritis, Rheumatoid;MESH:D001172;;ABCC2|ABCC3|ABCC5|ADORA2A|AFF3|ALOX5|ANXA3|BCL2A1|BGN|CALD1|CAT|CAV2|CCL21|CCN1|CCN2|CD2|CD244|CD3E|CD5|CD83|CIITA|CLEC12A|CP|CRP|CXCR4|CYBB|DDIT4|DDX6|DNASE1L3|F2|FASLG|FKBP5|FPGS|GC|GSDME|HCLS1|HSD11B1|IGFBP3|IKZF3|IL18|IL1RN|IL2RA|IL2RB|IL6R|IRF5|IRF8|ITGA6|KIF5A|LHX2|LY96|MAB21L2|MARCKS|MGARP|MIF|MMP12|MMP2|NCF1|NCF2|NFKBIE|NR4A3|PLD4|PLEK|PON1|PRDM1|PRKCQ|PTGS1|PTPN22|PTPRC|RASGRP1|RUNX1|RUNX2|SLC11A1|SLC22A4|SPRED2|STAT1|STAT4|TAGAP|TLR2|TNFRSF14|VEGFA;83.08;32;;;;;;;;;;;
titanium dioxide;C009495;13463-67-7;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|ABCC3|ABCC4|ABCC5|ABCG2|ACKR3|ADIPOQ|ADORA2A|AGER|AHR|ALOX5|ANXA3|BAIAP2L1|BDKRB2|BGN|BMP6|CAT|CAV2|CCL8|CCN1|CCN2|CCR6|CD2|CD28|CD5|CD83|CIITA|CLEC12A|CP|CRP|CSF2|CTSD|CXCL2|CXCL8|CXCR4|CYBB|DDIT4|DDX6|ENO1|F2|FKBP5|GATA3|GC|GPRC5A|GRK6|HCLS1|HSD11B1|IFNG|IGFBP3|IKZF3|IL10|IL18|IL1B|IL1RN|IL23A|IL6|IL6ST|IRAK1|IRF8|ITGA6|LCN2|LY96|MGARP|MIF|MMP10|MMP12|MMP2|MPO|NCF2|NFKBIE|NR4A3|PADI4|PLB1|PLD4|PLEK|PON1|PRDM1|PRKCQ|PTGS1|PTGS2|PTPN2|PTPN22|PTPRC|RAP2A|SLC11A1|SLC22A4|SNHG14|SOD2|STAT1|STAT4|TAGAP|TLR2|TMPO|TNF|TNFAIP2|TNFAIP3|TNFSF14|TRAF1|TRAF6|TXNDC5|TXNIP|VEGFA;82.40;44;;;;;;;;;;;
Cisplatin;D002945;15663-27-1;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|ABCC3|ABCC4|ABCC5|ABCG2|ACKR3|ADORA2A|AGER|AHR|ALOX5|ANXA3|ARID5B|ATIC|B3GNT2|BAIAP2L1|BCL2A1|BDKRB2|BGN|BMP4|CALD1|CAT|CAV2|CCN1|CCN2|CD244|CD40|CD83|CDK6|CLEC12A|CP|CRP|CSF2|CTSD|CXCL2|CXCL8|CXCR4|CYBB|DDIT4|DHFR|ENO1|FASLG|FCGR2A|FOXP3|GATA3|GC|GGH|GIN1|GRK6|GSDME|HDAC1|HOXD10|HOXD11|HSD11B1|IFNG|IGFBP3|IL10|IL18|IL1B|IL1RN|IL23A|IL6|IL6R|IL6ST|IRF5|ITGA6|LCN2|LHX2|MGARP|MMP10|MMP12|MMP2|MPO|NCF1|NCF2|NDUFA4L2|NFKBIL1|NR4A3|PLEK|PON1|POU3F1|PRDM1|PRKCQ|PTGS1|PTGS2|PTK2|PTPRC|PXK|RAB8A|RAP2A|RASGRP1|RBPJ|RCAN1|REL|RUNX1|RUNX2|SLC22A4|SLC25A12|SOD2|STAT1|STAT4|STS|TAGAP|TFPI2|TLE3|TLR2|TMPO|TNF|TNFAIP2|TNFAIP3|TNFRSF14|TNFSF14|TRAF1|TXNIP|VEGFA;81.56;45;;;;;;;;;;;
Dietary Fats;D004041;;Arthritis, Rheumatoid;MESH:D001172;;ABCC2|ABCC3|ABCC4|ABCC5|ABCG2|ADIPOQ|AGER|AHR|ALOX5|ANXA3|BDKRB2|BGN|BMP6|CALD1|CAT|CAV2|CCL21|CCL8|CCN1|CCN2|CCR6|CD2|CD244|CD28|CD3E|CDK6|CIITA|CP|CRP|CSF2|CTSD|CXCL2|CXCL6|CXCL8|CYBB|DDIT4|DDX6|DHFR|ENO1|F2|FKBP5|FOXP3|GATA3|GDF5|GSDME|HAPLN1|HOXD10|HSD11B1|IFNG|IGFBP3|IL10|IL18|IL1B|IL1RN|IL6|IL6ST|IRF5|IRF8|ITGA6|KIF5A|LCN2|LY96|MIF|MMP12|MMP2|MPO|MTHFR|NCF1|NCF2|NDUFA4L2|NR4A3|PADI4|PLEK|PON1|POU3F1|PTGS2|PTK2|PTPN2|PTPRC|RBPJ|RCAN1|REL|RUNX1|SLC11A1|SLC22A4|SMS|SNHG14|SOD2|ST6GALNAC5|STAT1|STS|TLR2|TNF|TNFAIP3|TRAF1|TRAF6|TXNIP|VEGFA;81.40;41;;;;;;;;;;;
2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one;C085911;154447-36-6;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|ABCC5|ABCG2|ADIPOQ|AGER|AHR|BCL2A1|CAT|CCN1|CCN2|CSF2|CXCL2|CXCL8|DDIT4|F2|FASLG|IFNG|IGFBP3|IL18|IL1B|IL6|MMP10|MMP12|MMP2|NR4A3|PTGS2|PTK2|RBPJ|REL|RUNX2|SOD2|STS|TLR2|TNF|TNFAIP3|VEGFA;81.30;27;;;;;;;;;;;
tinuvin;C016151;05/11/3896;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ADIPOQ|ADORA2A|ALOX5|BGN|CD40|COL2A1|CTLA4|CTSD|CXCR4|F2|FOXP3|GC|IL1B|IL2RB|IL6|IL6R|MIF|MMP2|NCF2|PRDM1|PRKCQ|PTGS1|PTGS2|PTPN22|PTPRC|RBPJ|REL|STAT1|STAT4|TLR2|TNF|TNFSF14|TRAF6|TXNIP|VEGFA;81.06;32;;;;;;;;;;;
nickel sulfate;C029938;7786-81-4;Arthritis, Rheumatoid;MESH:D001172;;ABCC3|ADORA2A|AFF3|ANXA3|BAIAP2L1|BCL2A1|BMP4|BMP6|CAT|CCR6|CD40|CD83|CDK6|CXCL2|CXCL6|CXCL8|CXCR4|DDIT4|ENO1|IFNG|IL10|IL18|IL1B|IL1RN|IL23A|IL6|IRF5|IRF8|LCN2|LHX2|MARCKS|MGARP|MIF|MMP10|MMP12|MMP2|MPO|NCF2|PLEK|PRDM1|PTGS2|RASGRP1|RBPJ|RCAN1|REL|SOD2|STAT1|STAT4|STS|TFPI2|TNF|TNFAIP2|TNFAIP3|TRAF1|TXNIP|VEGFA;80.98;31;;;;;;;;;;;
Doxorubicin;D004317;23214-92-8;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|ABCC3|ABCC4|ABCC5|ABCG2|ADIPOQ|ADORA2A|AFF3|ALOX5|ARID5B|ATIC|B3GNT2|B3GNT9|BCL2A1|BDKRB2|BGN|BMP4|BMP6|CALD1|CAT|CAV2|CCL21|CCL8|CCN1|CCN2|CD40|CDK6|CLEC12A|COL2A1|CP|CSF2|CTSD|CXCL2|CXCL6|CXCL8|CXCR4|CYBB|DDIT4|DDX6|DHFR|ENO1|F2|FASLG|FKBP5|FPGS|GC|GRK2|GRK6|GSDME|HCLS1|HDAC1|HSD11B1|IFNG|IGFBP3|IL10|IL18|IL1B|IL1RN|IL23A|IL6|IL6R|IL6ST|IRAK1|ITGA6|KIF5A|LCN2|LY96|MAB21L2|MARCKS|MIF|MMP10|MMP12|MMP2|MPO|NCF1|NCF2|NFKBIE|NR4A3|PADI4|PTGS1|PTGS2|PTK2|PTPN2|PXK|RAB8A|RAP2A|RCAN1|REL|RGMB|RUNX1|SLC22A4|SLC25A12|SOD2|SPRED2|STAT1|STAT4|STS|TFPI2|TLE3|TLR2|TMPO|TNF|TNFAIP2|TNFAIP3|TNFRSF11B|TNFRSF14|TNFSF14|TRAF1|TRAF6|TXNIP|VEGFA;79.47;40;;;;;;;;;;;
Streptozocin;D013311;18883-66-4;Arthritis, Rheumatoid;MESH:D001172;;ABCC2|ABCC3|ABCC4|ABCC5|ABCG2|ADIPOQ|ADORA2A|AGER|AHR|ANXA3|BCL2A1|BDKRB2|BMP6|CAT|CCN2|CP|CRP|CTSD|CXCL8|CXCR4|CYBB|DDIT4|ENO1|FASLG|HAPLN1|IFNG|IGFBP3|IL10|IL18|IL1B|IL1RN|IL23A|IL6|IL6ST|IRAK1|LCN2|MMP2|MPO|MTHFR|NCF1|NCF2|PON1|PTGS1|PTGS2|REL|RUNX2|SOD2|TNF|TNFRSF11B|TRAF6|TXNIP|VEGFA;79.20;33;;;;;;;;;;;
Troglitazone;D000077288;97322-87-7;Arthritis, Rheumatoid;MESH:D001172;;ABCC2|ABCC3|ABCC4|ABCG2|ACKR3|ADIPOQ|ADORA2A|AGER|AHR|ALOX5|ANXA3|BCL2A1|BGN|BMP6|CAT|CCL8|CCN1|CCN2|CD83|CDK6|CP|CSF2|CXCL2|CXCL8|CXCR4|DDIT4|DDX6|DNASE1L3|ENO1|FASLG|FCGR2A|FOXP3|GATA3|GDF5|HSD11B1|IFNG|IGFBP3|IL10|IL1B|IL6|LCN2|LY96|MAB21L2|MMP10|MMP2|MPO|MTHFR|NCF1|NR4A3|PRDM1|PTGS1|PTGS2|PTPN2|RBPJ|RCAN1|RUNX1|RUNX2|SLC22A4|SOD2|STAT1|STS|TMPO|TNF|TNFAIP2|TNFAIP3|TNFRSF11B|TXNIP|VEGFA;78.97;36;;;;;;;;;;;
Diethylhexyl Phthalate;D004051;117-81-7;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|ABCC3|ABCC4|ABCG2|ADIPOQ|ADORA2A|AHR|ANXA3|BAIAP2L1|BMP4|CALD1|CAT|CAV2|CCL8|CCN2|CD244|CD40|CDK6|CIITA|CLEC12A|CP|CRP|CSF2|CTSD|CXCL2|CXCL8|CXCR4|DDIT4|DHFR|ENO1|F2|FCGR2A|FKBP5|GATA3|GPRC5A|GRK6|HAPLN1|HSD11B1|IFNG|IGFBP3|IKZF3|IL10|IL1B|IL2RB|IL6|IRF5|KIF5A|LCN2|LHX2|MMP2|MPO|NCF2|NFKBIE|NR4A3|PTGS1|PTGS2|PTPRC|RAB8A|RCAN1|RUNX1|RUNX2|SLC25A12|SMS|SOD2|SPRED2|STAT1|STS|TFPI2|TLE3|TMPO|TNF|TNFAIP3|TNFRSF11B|TNFRSF14|TRAF1|TRAF6|TXNIP|VEGFA;78.49;34;;;;;;;;;;;
pirinixic acid;C006253;50892-23-4;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|ABCC3|ABCC4|ABCG2|ACKR3|ADIPOQ|AFF3|AHR|ALOX5|ANXA3|ARID5B|B3GNT2|B3GNT9|BAIAP2L1|BLK|CALD1|CAT|CAV2|CCL8|CCN1|CCN2|CD2|CD28|CD83|CDK6|CIITA|COL2A1|CP|CRP|CTLA4|CTSD|CXCL2|CXCL8|CYBB|DDIT4|DDX6|DHFR|DNASE1L3|ENO1|F2|FASLG|FCGR2A|FKBP5|FPGS|GATA3|GC|GGH|GPRC5A|GRK6|GSDME|HOXD11|HSD11B1|IFNG|IGFBP3|IL10|IL18|IL1B|IL1RN|IL2RB|IL6|IL6R|IL6ST|IRAK1|IRF5|IRF8|ITGA6|LCN2|MAB21L2|MARCKS|MIF|MPO|MTHFR|NCF1|NFKBIE|NR4A3|PON1|PTGS1|PTGS2|PTK2|PTPN2|PTPN22|PTPRC|RAP2A|RCAN1|SLC22A4|SLC25A12|SMS|SNHG14|SOD2|SPRED2|STAT1|STS|TFPI2|TLE3|TLR2|TMPO|TNF|TNFAIP2|TNFAIP3|TNFRSF11B|TNFRSF14|TRAF6|TXNDC5|TXNIP|VEGFA;78.38;44;;;;;;;;;;;
Benzo(a)pyrene;D001564;50-32-8;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|ABCC3|ABCC4|ABCC5|ABCG2|ACAN|ACKR3|ADIPOQ|ADORA2A|AFF3|AGER|AHR|ALOX5|ANKRD55|ANXA3|ARID5B|B3GNT2|B3GNT9|BAIAP2L1|BCL2A1|BDKRB2|BGN|BLK|BMP4|BMP6|CALD1|CAT|CAV2|CCL21|CCL8|CCN1|CCN2|CCR6|CD2|CD244|CD28|CD3E|CD40|CD5|CD83|CDK6|CIITA|CLEC12A|COL2A1|CP|CRP|CSF2|CTLA4|CTSD|CXCL2|CXCL6|CXCL8|CXCR4|CYBB|DDIT4|DDX6|DHFR|DNASE1L3|ENO1|F2|FASLG|FKBP5|FOXP3|FPGS|GART|GATA3|GC|GDF5|GGH|GIN1|GPRC5A|GRK2|GRK6|GSDME|HAPLN1|HCLS1|HDAC1|HLA-DPB1|HLA-DQA2|HLA-DRB1|HOXD10|HOXD11|HOXD13|HSD11B1|IFNG|IGFBP3|IKZF3|IL10|IL18|IL1B|IL1RN|IL23A|IL2RA|IL2RB|IL6|IL6R|IL6ST|IRAK1|IRF5|IRF8|ITGA6|KIF5A|LCN2|LHX2|LY96|MAB21L2|MARCKS|MGARP|MIF|MMEL1|MMP10|MMP12|MMP2|MPO|MTHFR|NCF1|NCF2|NDUFA4L2|NFKBIE|NFKBIL1|NR4A3|PADI4|PLB1|PLD4|PLEK|PON1|POU3F1|PRDM1|PRKCQ|PSG5|PTGS1|PTGS2|PTK2|PTPN2|PTPN22|PTPRC|PXK|RAB8A|RAP2A|RASGRP1|RBPJ|RCAN1|REL|RGMB|RUNX1|RUNX2|SLC11A1|SLC22A4|SLC25A12|SMS|SOD2|SPRED2|ST6GALNAC5|STAT1|STAT4|STS|TAGAP|TFPI2|TLE3|TLR2|TMPO|TNF|TNFAIP2|TNFAIP3|TNFRSF11B|TNFRSF14|TNFSF14|TRAF1|TRAF6|TXNDC5|TXNIP|VEGFA;78.36;55;;;;;;;;;;;
Calcitriol;D002117;32222-06-3;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|ABCC3|ABCC4|ACKR3|ADIPOQ|AFF3|AGER|ALOX5|ANXA3|B3GNT2|BCL2A1|BMP4|BMP6|CCL8|CCN1|CD28|CD3E|CD40|CP|CRP|CSF2|CXCL2|CXCL8|CXCR4|CYBB|FASLG|FCGR2A|FKBP5|FOXP3|GART|GATA3|GC|GGH|HSD11B1|IFNG|IGFBP3|IL10|IL1B|IL1RN|IL2RA|IL6|IL6ST|LCN2|LY96|MMP12|MMP2|MTHFR|POU3F1|PTGS1|PTGS2|PTPRC|RCAN1|RGMB|RUNX1|RUNX2|SOD2|TMPO|TNF|TNFAIP2|TNFAIP3|TNFRSF11B|TRAF1|TXNIP|VEGFA;77.55;35;;;;;;;;;;;
Ethinyl Estradiol;D004997;57-63-6;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|ABCC3|ABCC4|ABCC5|ABCG2|ACKR3|ADIPOQ|AGER|AHR|ANKRD55|ANXA3|ARID5B|ATIC|BAIAP2L1|BDKRB2|BGN|BMP4|BMP6|CALD1|CAT|CCL8|CCN1|CCN2|CCR6|CD28|CD83|CDK6|CIITA|COL2A1|CP|CRP|CSF2|CTSD|CXCL2|CXCL8|CXCR4|CYBB|DDIT4|DDX6|DHFR|ENO1|F2|FKBP5|FOXP3|FPGS|GART|GATA3|GC|GDF5|GGH|GPRC5A|GRK6|GSDME|HCLS1|HDAC1|HLA-DRB1|HSD11B1|IFNG|IGFBP3|IL10|IL18|IL1B|IL1RN|IL2RA|IL6|IL6R|IL6ST|IRAK1|IRF5|ITGA6|LCN2|MAB21L2|MARCKS|MIF|MMEL1|MMP10|MMP12|MMP2|MPO|MTHFR|NCF1|NCF2|NFKBIL1|PADI4|PLEK|PON1|PRDM1|PTGS1|PTGS2|PTK2|PTPN2|PTPN22|PTPRC|PXK|RAB8A|RAP2A|RASGRP1|RBPJ|RCAN1|REL|RUNX1|RUNX2|SLC11A1|SLC25A12|SMS|SOD2|SPRED2|STAT1|STAT4|STS|TAGAP|TLE3|TLR2|TMPO|TNF|TNFAIP2|TNFAIP3|TNFRSF11B|TXNIP|TYK2|VEGFA;77.47;52;;;;;;;;;;;
U 0126;C113580;;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|ABCC5|AHR|ALOX5|CCN2|CDK6|COL2A1|CSF2|CXCL2|CXCL8|CXCR4|CYBB|FASLG|GRK2|IFNG|IGFBP3|IL10|IL1B|IL6|MMP10|MMP12|MMP2|NCF1|NCF2|PTGS2|PTK2|RUNX2|SOD2|STAT1|STS|TLR2|TNF|TNFRSF11B|TXNIP|VEGFA;77.09;26;;;;;;;;;;;
Raloxifene Hydrochloride;D020849;;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|ABCC3|ABCG2|ACAN|ACKR3|ADIPOQ|ADORA2A|AHR|ALOX5|ARID5B|BGN|CALD1|CAT|CD40|COL2A1|CSF2|CXCL2|CXCL8|DDIT4|FKBP5|HAPLN1|IGFBP3|IL1B|IL6|IL6R|IL6ST|LCN2|MMP12|MMP2|MPO|MTHFR|NCF2|NFKBIE|NR4A3|PTGS2|RASGRP1|RUNX2|SOD2|STAT1|TLR2|TMPO|TNF|TNFAIP3|TNFRSF11B|TXNIP|VEGFA;76.83;31;;;;;;;;;;;
Folic Acid;D005492;59-30-3;Arthritis, Rheumatoid;MESH:D001172;;ABCC3|ABCC4|ABCC5|ABCG2|ACKR3|ADORA2A|AFF3|AHR|ALOX5|ANXA3|ARID5B|ATIC|B3GNT2|B3GNT9|BMP4|BMP6|CAT|CCL8|CCN1|CCN2|CCR6|CD244|CD3E|CD40|CD83|CDK6|CIITA|COL2A1|CRP|CSF2|CTSD|CXCL6|CXCL8|CXCR4|CYBB|DDIT4|DDX6|DHFR|DNASE1L3|ENO1|F2|FKBP5|FPGS|GART|GATA3|GC|GGH|GIN1|GRK2|GRK6|GSDME|HCLS1|HDAC1|HLA-DPB1|HOXD10|HSD11B1|IFNG|IGFBP3|IL10|IL18|IL1B|IL1RN|IL23A|IL2RA|IL2RB|IL6|IL6ST|IRAK1|IRF8|ITGA6|KIF5A|LCN2|LY96|MARCKS|MIF|MMP12|MMP2|MPO|MTHFR|NCF1|NCF2|NFKBIE|NR4A3|PLEK|POU3F1|PRDM1|PRKCQ|PTGS1|PTGS2|PTK2|PTPN22|RAB8A|RAP2A|RASGRP1|RBPJ|RCAN1|RGMB|RUNX1|RUNX2|SLC22A4|SLC25A12|SMS|SNHG14|SOD2|SPRED2|ST6GALNAC5|STAT1|STAT4|STS|TLE3|TLR2|TMPO|TNF|TNFAIP3|TNFRSF11B|TNFRSF14|TRAF1|TRAF6|TXNDC5|TXNIP|VEGFA;76.61;49;;;;;;;;;;;
S-(1;2-dichlorovinyl)cysteine;C039961;627-72-5;Arthritis, Rheumatoid;MESH:D001172;;ACKR3|ADORA2A|ALOX5|ANXA3|ARID5B|BAIAP2L1|BCL2A1|BDKRB2|BMP4|BMP6|CAV2|CCL8|CCN1|CCN2|CD244|CD28|CD40|CD5|CD83|CDK6|CIITA|CLEC12A|COL2A1|CSF2|CXCL2|CXCL6|CXCL8|DDIT4|DNASE1L3|FKBP5|GC|GPRC5A|HLA-DQA2|HOXD10|HOXD11|IGFBP3|IKZF3|IL10|IL1B|IL23A|IL2RA|IL6|IRF8|ITGA6|KIF5A|LHX2|MAB21L2|MARCKS|MMP10|MMP12|NR4A3|PLEK|PRDM1|PTGS2|PTPN22|RASGRP1|REL|RUNX2|SOD2|ST6GALNAC5|STAT1|STAT4|TFPI2|TNF|TNFAIP2|TNFAIP3|TNFSF14|TRAF1|TXNIP|VEGFA;76.51;31;;;;;;;;;;
Asbestos; Serpentine;D017632;;Arthritis, Rheumatoid;MESH:D001172;;ADIPOQ|AFF3|BMP6|CAT|CCL8|CCN2|CD244|CP|CSF2|CXCL2|CXCL6|CXCL8|CXCR4|HOXD11|HSD11B1|IFNG|IGFBP3|IL10|IL18|IL1B|IL1RN|IL6|IL6ST|IRF8|LCN2|LHX2|MMP10|MMP12|MMP2|MPO|NCF2|PRDM1|PTGS2|RUNX1|SLC22A4|SOD2|STAT4|TFPI2|TNF|TNFAIP2|TNFAIP3|TRAF1;75.72;28;;;;;;;;;;
Acetylcysteine;D000111;616-91-1;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|ABCC3|ADIPOQ|AHR|B3GNT9|CAT|CCL8|CCN1|CCN2|CRP|CSF2|CTSD|CXCL2|CXCL6|CXCL8|CYBB|DDIT4|DHFR|FASLG|FKBP5|FOXP3|IFNG|IL10|IL18|IL1B|IL2RA|IL6|MMP10|MMP12|MMP2|MPO|NCF1|NCF2|PON1|PTGS2|PTK2|REL|RUNX2|SLC22A4|SOD2|STAT1|TLR2|TNF|TNFAIP3|TXNIP|VEGFA;75.48;32;;;;;;;;;;;
Progesterone;D011374;57-83-0;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|ABCC3|ABCC4|ABCG2|ACAN|ADIPOQ|AHR|ANKRD55|ANXA3|BMP4|BMP6|CCN1|CCN2|CD3E|CD83|COL2A1|CP|CTSD|CXCL2|CXCL8|CXCR4|DDIT4|DDX6|ENO1|F2|FKBP5|FOXP3|GDF5|GPRC5A|GSDME|HAPLN1|HCLS1|HDAC1|HLA-DRB1|HSD11B1|IFNG|IGFBP3|IL10|IL18|IL1B|IL1RN|IL2RB|IL6|IL6R|IL6ST|IRAK1|ITGA6|LCN2|MARCKS|MIF|MMP10|MMP12|MMP2|MPO|NCF1|NCF2|NFKBIL1|PON1|PRKCQ|PTGS1|PTGS2|PTK2|RASGRP1|RCAN1|REL|RUNX2|SOD2|STAT1|STAT4|TFPI2|TLR2|TMPO|TNF|TNFAIP2|TNFAIP3|TNFRSF11B|TRAF6|TXNIP|VEGFA;75.06;42;;;;;;;;;;;
3-(4-methylphenylsulfonyl)-2-propenenitrile;C434003;;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC5|ABCG2|ADIPOQ|AHR|CDK6|CSF2|CXCL2|CXCL8|CYBB|HDAC1|IFNG|IL10|IL18|IL1B|IL6|LCN2|MIF|MMP12|MMP2|MPO|PRDM1|PTGS2|STS|TNF;74.33;27;;;;;;;;;;;
Zymosan;D015054;9010-72-4;Arthritis, Rheumatoid;MESH:D001172;;ALOX5|CAT|CD40|CD83|CSF2|CXCL2|CXCL8|CYBB|IFNG|IL10|IL1B|IL1RN|IL23A|IL6|MIF|MMP2|MPO|NCF1|NCF2|NFKBIE|PTGS1|PTGS2|STAT1|TLR2|TNF|VEGFA;74.12;22;;;;;;;;;;;
Trichloroethylene;D014241;79-01-6;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|ABCC3|ABCC4|ABCC5|ABCG2|ADIPOQ|ADORA2A|AFF3|AGER|ALOX5|ANKRD55|ANXA3|ARID5B|BCL2A1|BDKRB2|BGN|BLK|CALD1|CAT|CCN1|CCN2|CD244|CD28|CD3E|CD40|CD5|CD83|CDK6|CIITA|CP|CRP|CSF2|CTSD|CXCL8|CXCR4|CYBB|DDIT4|DDX6|DNASE1L3|ENO1|F2|FASLG|FCGR2A|FKBP5|FOXP3|GDF5|HAPLN1|HCLS1|HDAC1|IFNG|IGFBP3|IKZF3|IL10|IL1B|IL1RN|IL23A|IL2RA|IL6|IL6R|IL6ST|IRF5|KIF5A|LCN2|MAB21L2|MARCKS|MMP10|MMP2|MTHFR|NCF1|NCF2|NDUFA4L2|NFKBIL1|NR4A3|PADI4|PLD4|POU3F1|PRDM1|PRKCQ|PTGS1|PTGS2|PTPN2|PTPN22|RASGRP1|RCAN1|RUNX1|RUNX2|SMS|SOD2|STS|TAGAP|TLR2|TMPO|TNF|TNFAIP3|TNFRSF11B|TXNIP|VEGFA;73.88;42;;;;;;;;;;;
Dinitrochlorobenzene;D004137;;Arthritis, Rheumatoid;MESH:D001172;;ABCC2|ANXA3|ATIC|BMP6|CAT|CCL8|CCR6|CD40|CD83|CSF2|CTLA4|CXCL2|CXCL8|CXCR4|GART|IFNG|IL10|IL18|IL1B|IL23A|IL2RA|IL6|MARCKS|MMP10|MMP12|MPO|PADI4|PON1|PRDM1|PTGS2|RASGRP1|RBPJ|SOD2|STAT1|STAT4|TMPO|TNF|TNFAIP3|TNFSF14|VEGFA;73.75;29;;;;;;;;;;;
Allergens;D000485;;Arthritis, Rheumatoid;MESH:D001172;;ADIPOQ|AHR|CD3E|CIITA|CXCL2|CXCL8|CXCR4|FCGR2A|FKBP5|HLA-DRB1|IFNG|IL10|IL6R|IL6ST|IRF5|IRF8|LY96|PRDM1|PTGS2|PTK2|PTPN2|STAT4|TAGAP|TNFAIP3|TRAF1|TYK2;73.69;19;;;;;;;;;;;
sodium arsenate;C009277;;Arthritis, Rheumatoid;MESH:D001172;;ABCC2|ABCC3|ABCC4|ABCC5|ABCG2|ACKR3|AFF3|ARID5B|BLK|BMP4|CALD1|CAT|CAV2|CCN1|CCR6|CD2|CD28|CD40|CD5|CD83|CIITA|CSF2|CTSD|CXCL2|CYBB|DDX6|DNASE1L3|FKBP5|FPGS|GPRC5A|GRK6|HCLS1|HDAC1|HSD11B1|IFNG|IGFBP3|IL10|IL1B|IL6|IL6ST|IRAK1|ITGA6|KIF5A|LCN2|LY96|MARCKS|MMP2|MPO|MTHFR|NCF1|PLB1|PLD4|PLEK|PRDM1|PSG5|PTGS1|PTPRC|PXK|RAB8A|RCAN1|RGMB|RUNX1|SLC25A12|SMS|SOD2|STAT1|TLE3|TNF|TNFAIP2|TNFRSF11B|TNFRSF14|TRAF1|TXNIP|VEGFA;73.14;33;;;;;;;;;;;
Carbon Tetrachloride;D002251;56-23-5;Arthritis, Rheumatoid;MESH:D001172;;ABCB1|ABCC2|ABCC3|ABCC4|ABCC5|ABCG2|ACKR3|ADIPOQ|ADORA2A|AHR|ALOX5|ANXA3|ARID5B|ATIC|B3GNT2|BAIAP2L1|BDKRB2|BGN|BMP6|CALD1|CAT|CAV2|CCL21|CCN1|CCN2|CD83|CDK6|CLEC12A|CP|CRP|CTSD|CXCL2|CXCR4|CYBB|DDIT4|DHFR|DNASE1L3|ENO1|F2|FASLG|FKBP5|FPGS|GART|GC|GGH|GPRC5A|HDAC1|HSD11B1|IFNG|IGFBP3|IL10|IL18|IL1B|IL1RN|IL23A|IL2RA|IL2RB|IL6|IL6ST|IRAK1|IRF8|ITGA6|LCN2|LHX2|LY96|MARCKS|MIF|MMP10|MMP12|MMP2|MPO|MTHFR|NCF1|NCF2|NDUFA4L2|NFKBIE|PADI4|PLEK|PON1|PTGS1|PTGS2|PTK2|PTPN2|PTPRC|RCAN1|REL|RUNX1|RUNX2|SLC11A1|SLC22A4|SLC25A12|SOD2|STAT1|TFPI2|TLR2|TMPO|TNF|TNFAIP2|TNFAIP3|TNFRSF11B|TXNDC5|TXNIP|TYK2|VEGFA;72.81;42;;;;;;;;;;;
