Chemical Name;Chemical ID;CAS RN;Disease Name;Disease ID;Direct Evidence;Inference Network;Inference Score;Reference Count;;;;;;;;;;;;;;
Colchicine;D003078;64-86-8;Musculoskeletal Pain;MESH:D059352;;ESR1|GCH1;8.88;1;;;;;;;;;;;;;;
Morphine;D009020;57-27-2;Angina, Stable;MESH:D060050;;MMP9|TLR4|TNF;8.87;1;;;;;;;;;;;;;;
3;5-bis(2-fluorobenzylidene)piperidin-4-one;C524042;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.86;1;;;;;;;;;;;;;
Benomyl;D001542;17804-35-2;Angina, Stable;MESH:D060050;;MMP9|TNF;8.86;1;;;;;;;;;;;;;;
genipin;C007834;6902-77-8;Angina, Stable;MESH:D060050;;MMP9|TNF;8.86;1;;;;;;;;;;;;;;
1-Methyl-4-phenyl-1;2;3;6-tetrahydropyridine;D015632;28289-54-5;Musculoskeletal Pain;MESH:D059352;;COMT|GCH1;8.85;1;;;;;;;;;;;
anandamide;C078814;94421-68-8;Angina, Stable;MESH:D060050;;MMP9|TNF;8.84;1;;;;;;;;;;;;;;
Probucol;D011341;23288-49-5;Angina, Stable;MESH:D060050;;MMP9|TNF;8.84;1;;;;;;;;;;;;;;
1;10-phenanthroline;C025205;66-71-7;Angina, Unstable;MESH:D000789;;CXCL8|PLAU;8.84;2;;;;;;;;;;;;;
lipopolysaccharide; Escherichia coli O111 B4;C440499;;Musculoskeletal Pain;MESH:D059352;;COMT|ESR1;8.84;1;;;;;;;;;;;;;
sanguinarine;C005705;2447-54-3;Angina, Stable;MESH:D060050;;MMP9|TNF;8.82;1;;;;;;;;;;;;;;
Benomyl;D001542;17804-35-2;Angina, Unstable;MESH:D000789;;CXCL8|PLAU;8.82;2;;;;;;;;;;;;;;
Mirtazapine;D000078785;;Angina, Stable;MESH:D060050;;TLR4|TNF;8.81;1;;;;;;;;;;;;;;
Cannabidiol;D002185;13956-29-1;Headache;MESH:D006261;;CSF3|IL6;8.81;2;;;;;;;;;;;;;;
Atropine;D001285;51-55-8;Pain;MESH:D010146;;AKT1|BDKRB2|CRH|EDN1|NPPA|PNOC|POMC|TNF|TRPA1;8.81;13;;;;;;;;;;;;;;
Corticosterone;D003345;50-22-6;Musculoskeletal Pain;MESH:D059352;;COMT|ESR1;8.80;1;;;;;;;;;;;;;;
omega-Conotoxin GVIA;D020866;92078-76-7;Neuralgia;MESH:D009437;;OPRM1|TAC1;8.80;2;;;;;;;;;;;;;;
U 69593;C045444;96744-75-1;Neuralgia;MESH:D009437;;OPRM1|TAC1;8.80;2;;;;;;;;;;;;;;
Everolimus;D000068338;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.79;1;;;;;;;;;;;;;;
mono-benzyl phthalate;C103325;2528-16-7;Angina, Stable;MESH:D060050;;MMP9|TNF;8.79;1;;;;;;;;;;;;;;
dapagliflozin;C529054;;Neuralgia;MESH:D009437;;AGER|HMGB1|TNF;8.78;2;;;;;;;;;;;;;;
MK615 extract;C517469;;Neuralgia;MESH:D009437;;HMGB1|TNF;8.78;2;;;;;;;;;;;;;;
Thioacetamide;D013853;62-55-5;Pain, Postoperative;MESH:D010149;;ABCB1;8.78;1;;;;;;;;;;;;;;
Riboflavin;D012256;83-88-5;Angina, Stable;MESH:D060050;;MMP9|TNF;8.77;1;;;;;;;;;;;;;;
Tubocurarine;D014403;57-95-4;Angina, Unstable;MESH:D000789;;CXCL8|PLAU;8.77;2;;;;;;;;;;;;;;
BIII 890 CL;C408069;;EPISODIC PAIN SYNDROME, FAMILIAL, 2;OMIM:615551;;SCN10A;8.77;1;;;;;;;;;;;;;;
cismethrin;C017498;35764-59-1;EPISODIC PAIN SYNDROME, FAMILIAL, 2;OMIM:615551;;SCN10A;8.77;1;;;;;;;;;;;;;;
NW 1029;C475054;;EPISODIC PAIN SYNDROME, FAMILIAL, 2;OMIM:615551;;SCN10A;8.77;1;;;;;;;;;;;;;;
Lipopolysaccharides;D008070;;Abdominal Pain;MESH:D015746;;IFNA2;8.76;1;;;;;;;;;;;;;;
Dust;D004391;;Musculoskeletal Pain;MESH:D059352;;COMT|ESR1;8.75;1;;;;;;;;;;;;;;
allylpyrocatechol;C523074;;Neuralgia;MESH:D009437;;IL12B|TNF;8.75;2;;;;;;;;;;;;;;
Sulfapyridine;D013427;144-83-2;Neuralgia;MESH:D009437;;IL12B|TNF;8.75;2;;;;;;;;;;;;;;
Okadaic Acid;D019319;78111-17-8;Musculoskeletal Pain;MESH:D059352;;COMT|ESR1;8.74;1;;;;;;;;;;;;;;
5-carboxamidotryptamine;C047087;74885-09-9;Pain;MESH:D010146;;HTR1A|HTR7;8.74;2;;;;;;;;;;;;;;
arvanil;C121153;;Pain;MESH:D010146;;AKT1|CNR1|TRPV1;8.74;6;;;;;;;;;;;;;;
ferrous sulfate;C020748;;Pain;MESH:D010146;;AKT1|ALB|CSF2|IFNA2|IL1RN|TNF|TRPV1;8.74;11;;;;;;;;;;;;;;
tetrandrine;C009438;518-34-3;Angina, Stable;MESH:D060050;;MMP9|TNF;8.73;1;;;;;;;;;;;;;;
Nickel;D009532;7440-02-0;Pain;MESH:D010146;;AKT1|ALB|BDKRB2|COMT|CRH|CSF2|EDN1|GCH1|HOXD1|HRH1|HTR3B|IL1RN|IL2|KNG1|NPR1|NRG1|PENK|PLCB1|POMC|SLC9A1|TNF|TRPV1;8.73;35;;;;;;;;;;;;;;
Arachidonic Acid;D016718;;Pain;MESH:D010146;;AKT1|ALB|AVP|EDN1|HTR1A|KNG1|OXT|TNF|TRPA1|TRPV1;8.72;22;;;;;;;;;;;;;;
Carbon Tetrachloride;D002251;56-23-5;Angina Pectoris;MESH:D000787;;PLAU;8.71;1;;;;;;;;;;;;;;
isoquercitrin;C016527;21637-25-2;Angina, Stable;MESH:D060050;;MMP9|TNF;8.71;1;;;;;;;;;;;;;;
Zinc Oxide;D015034;1314-13-2;Musculoskeletal Pain;MESH:D059352;;ESR1|GCH1;8.70;1;;;;;;;;;;;;;;
3;5-diethoxycarbonyl-1;4-dihydrocollidine;C530773;;Pain;MESH:D010146;;ABCB1A|CSF2|IL1RN|NPPB|TNF;8.69;6;;;;;;;;;;;;
8-((4-chlorophenyl)thio)cyclic-3';5'-AMP;C015929;41941-66-6;Pain;MESH:D010146;;ABCB1A|AKT1|TRPV1|VIP;8.69;7;;;;;;;;;;;;;
nonane;C017573;111-84-2;Pain;MESH:D010146;;POMC|TAC1|TNF;8.69;7;;;;;;;;;;;;;;
xanthohumol;C104536;6754-58-1;Angina, Stable;MESH:D060050;;MMP9|TNF;8.68;1;;;;;;;;;;;;;;
S-Nitroso-N-Acetylpenicillamine;D026423;79032-48-7;Neuralgia;MESH:D009437;;OPRM1|PRKG1|TNF;8.68;4;;;;;;;;;;;;;;
Diacetyl;D003931;431-03-8;Angina, Stable;MESH:D060050;;MMP9|TNF;8.66;1;;;;;;;;;;;;;;
Glupearl 19S;C000606994;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.66;1;;;;;;;;;;;;;;
pregna-4;17-diene-3;16-dione;C023617;95975-55-6;Angina, Stable;MESH:D060050;;MMP9|TNF;8.65;1;;;;;;;;;;;;
Ursolic Acid;D000097245;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.65;1;;;;;;;;;;;;;;
Glycerol;D005990;56-81-5;Angina, Stable;MESH:D060050;;TLR4|TNF;8.64;1;;;;;;;;;;;;;;
4-Nitroquinoline-1-oxide;D015112;56-57-5;Angina, Stable;MESH:D060050;;MMP9|TNF;8.63;1;;;;;;;;;;;;;;
Fingolimod Hydrochloride;D000068876;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.63;1;;;;;;;;;;;;;;
arachidonyl-2-chloroethylamide;C119325;;Dysmenorrhea;MESH:D004412;;AVP|OXT;8.63;1;;;;;;;;;;;;;;
Polymyxin B;D011112;1404-26-8;Neuralgia;MESH:D009437;;HMGB1|IL12B|TNF;8.63;3;;;;;;;;;;;;;;
SB-332235;C000723833;;Neuralgia;MESH:D009437;;CXCR2|TNF;8.63;2;;;;;;;;;;;;;;
2-anisidine;C003898;90-04-0;Angina, Stable;MESH:D060050;;TLR4|TNF;8.62;1;;;;;;;;;;;;;;
Glupearl 19S;C000606994;;Angina, Unstable;MESH:D000789;;CXCL8|PLAU;8.62;2;;;;;;;;;;;;;;
2;4-dinitrobenzenesulfonic acid;C001073;89-02-1;Pain;MESH:D010146;;CNR1|OPRK1|SLC9A1|TAC1|TNF;8.62;7;;;;;;;;;;;;;
4-cresol;C032538;106-44-5;Angina, Stable;MESH:D060050;;MMP9|TNF;8.61;1;;;;;;;;;;;;;;
wogonin;C085514;632-85-9;Angina, Stable;MESH:D060050;;MMP9|TNF;8.61;1;;;;;;;;;;;;;;
Reserpine;D012110;50-55-5;Neuralgia;MESH:D009437;;GAL|GRM5|TAC1|TNF;8.61;3;;;;;;;;;;;;;;
JHW 015;C402944;;Pain;MESH:D010146;;AKT1|CNR1|TNF|TRPV1;8.61;8;;;;;;;;;;;;;;
4-methylhistamine;C025566;36507-31-0;Neuralgia;MESH:D009437;;IL12B|TNF;8.60;2;;;;;;;;;;;;;;
juzentaihoto;C063587;;Neuralgia;MESH:D009437;;IL12B|TNF;8.60;2;;;;;;;;;;;;;;
Superantigens;D018089;;Neuralgia;MESH:D009437;;IL12B|TNF;8.60;2;;;;;;;;;;;;;;
Propylthiouracil;D011441;51-52-5;Angina Pectoris;MESH:D000787;;PLAU;8.59;1;;;;;;;;;;;;;;
galangin;C037032;548-83-4;Angina, Stable;MESH:D060050;;TLR4|TNF;8.58;1;;;;;;;;;;;;;;
ginsenoside Re;C049864;52286-59-6;Angina, Stable;MESH:D060050;;TLR4|TNF;8.58;1;;;;;;;;;;;;;;
Irbesartan;D000077405;138402-11-6;Angina, Stable;MESH:D060050;;MMP9|TNF;8.58;1;;;;;;;;;;;;;;
Simvastatin;D019821;79902-63-9;Angina, Stable;MESH:D060050;;MMP9|TLR4|TNF;8.58;1;;;;;;;;;;;;;;
methanandamide;C088155;150314-39-9;Pain;MESH:D010146;;AKT1|BDKRB1|CNR1|PENK;8.58;4;;;;;;;;;;;;;;
sidnocarb;C009257;34262-84-5;Pain;MESH:D010146;;PENK|TAC1;8.57;3;;;;;;;;;;;;;;
endotoxin; Escherichia coli;C044101;67924-63-4;Angina, Stable;MESH:D060050;;TLR4|TNF;8.56;1;;;;;;;;;;;;;
tempol;C001803;2226-96-2;Angina, Stable;MESH:D060050;;MMP9|TNF;8.56;1;;;;;;;;;;;;;;
Leflunomide;D000077339;75706-12-6;Headache;MESH:D006261;;IL6;8.56;1;;;;;;;;;;;;;;
gingerol;C007845;1391-73-7;Angina, Stable;MESH:D060050;;MMP9|TNF;8.55;1;;;;;;;;;;;;;;
benzo(b)fluoranthene;C006703;205-99-2;Pain;MESH:D010146;;ABCB1A|ADM|GCH1|PLCB1;8.55;4;;;;;;;;;;;;;;
N-Methyl-3;4-methylenedioxyamphetamine;D018817;42542-10-9;Pain;MESH:D010146;;AKT1|CNR1|COMT|DRD2|GRIN1|HCRT|HRH1|HTR7|NPPA|NTSR1|PDYN|PENK|POMC|TNF;8.55;19;;;;;;;;;;;;;
Decitabine;D000077209;2353-33-5;Headache;MESH:D006261;;IFNA2|IL6;8.54;2;;;;;;;;;;;;;;
Aristolochic Acids;D034341;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.53;1;;;;;;;;;;;;;;
oxophenylarsine;C029341;637-03-6;Angina, Stable;MESH:D060050;;MMP9|TNF;8.53;1;;;;;;;;;;;;;;
trovafloxacin;C080163;146836-84-2;Pain;MESH:D010146;;ADM|AKT1|COMT|POMC|PROKR1|TNF;8.53;9;;;;;;;;;;;;;;
lorcaserin;C506658;;Neuralgia;MESH:D009437;;HTR2C|TNF;8.52;2;;;;;;;;;;;;;;
Asbestos; Crocidolite;D017638;12001-28-4;Pain;MESH:D010146;;ADM|AKT1|ALB|BDKRB1|CACNA2D1|CNR1|CSF2|CSF3|EDN1|HRH1|IL1RN|NPPB|NRG1|TNF;8.52;18;;;;;;;;;;;;;
nonane;C017573;111-84-2;Neuralgia;MESH:D009437;;TAC1|TNF;8.51;2;;;;;;;;;;;;;;
sairei-to;C080903;;Pain;MESH:D010146;;CRH|POMC;8.51;4;;;;;;;;;;;;;;
Carbon;D002244;7440-44-0;Angina, Stable;MESH:D060050;;MMP9|TNF;8.50;1;;;;;;;;;;;;;;
Donepezil;D000077265;120011-70-3;Angina, Stable;MESH:D060050;;MMP9|TNF;8.50;1;;;;;;;;;;;;;;
Plant Preparations;D028321;;Musculoskeletal Pain;MESH:D059352;;COMT|ESR1;8.50;1;;;;;;;;;;;;;;
4-nitrososulfamethoxazole;C072956;131549-85-4;Neuralgia;MESH:D009437;;HMGB1|TNF;8.50;2;;;;;;;;;;;;;;
alpha-methylhistamine;C069357;6986-90-9;Neuralgia;MESH:D009437;;GAL|TNF;8.50;2;;;;;;;;;;;;;;
SC 514;C477523;;Neuralgia;MESH:D009437;;HMGB1|TNF;8.50;2;;;;;;;;;;;;;;
Ethinyl Estradiol;D004997;57-63-6;Pain, Postoperative;MESH:D010149;;ABCB1;8.50;1;;;;;;;;;;;;;;
curdlan;C038459;54724-00-4;Angina, Stable;MESH:D060050;;TLR4|TNF;8.49;1;;;;;;;;;;;;;;
ginsenoside Rg1;C035054;22427-39-0;Angina, Stable;MESH:D060050;;MMP9|TNF;8.49;1;;;;;;;;;;;;;;
Probenecid;D011339;57-66-9;Angina, Stable;MESH:D060050;;TLR4|TNF;8.49;1;;;;;;;;;;;;;;
cobaltiprotoporphyrin;C007095;14325-03-2;Neuropathy, Painful;MESH:C564945;;HMGB1|THBD;8.48;1;;;;;;;;;;;;;;
vanadium pentoxide;C066075;1314-62-1;Angina, Stable;MESH:D060050;;MMP9|TNF;8.47;1;;;;;;;;;;;;;;
Aminosalicylic Acids;D000636;;Neuralgia;MESH:D009437;;IL12B|TNF;8.47;2;;;;;;;;;;;;;;
DCB-SLE1;C568335;;Neuralgia;MESH:D009437;;IL12B|TNF;8.47;2;;;;;;;;;;;;;;
4-phenylenediamine;C029728;106-50-3;Angina, Stable;MESH:D060050;;TLR4|TNF;8.46;1;;;;;;;;;;;;;;
saikosaponin D;C025759;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.46;1;;;;;;;;;;;;;;
Captan;D002215;133-06-2;Musculoskeletal Pain;MESH:D059352;;COMT|ESR1;8.45;1;;;;;;;;;;;;;;
Buthionine Sulfoximine;D019328;5072-26-4;Neuralgia;MESH:D009437;;CXCR4|HMGB1|IL12B|NTRK1|TNF;8.45;5;;;;;;;;;;;;;;
Saponins;D012503;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.44;1;;;;;;;;;;;;;;
Dithiothreitol;D004229;03/12/3483;Angina, Stable;MESH:D060050;;TLR4|TNF;8.43;1;;;;;;;;;;;;;;
Letrozole;D000077289;112809-51-5;Angina, Stable;MESH:D060050;;MMP9|TNF;8.43;1;;;;;;;;;;;;;;
shikonin;C016101;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.43;1;;;;;;;;;;;;;;
6-hydroxy-2;5;7;8-tetramethylchroman-2-carboxylic acid;C010643;56305-04-5;Angina, Unstable;MESH:D000789;;CXCL8|PLAU;8.43;2;;;;;;;;;;;
Aluminum Hydroxide;D000536;21645-51-2;Pain;MESH:D010146;;AKT1|CSF2|IL1RN|IL2|TNF;8.43;6;;;;;;;;;;;;;;
Selenium;D012643;7782-49-2;Pain;MESH:D010146;;AKT1|ALB|IL1RN|IL2|PLCB1|TNF;8.43;7;;;;;;;;;;;;;;
naphthalene;C031721;91-20-3;Musculoskeletal Pain;MESH:D059352;;COMT|ESR1;8.42;1;;;;;;;;;;;;;;
Resveratrol;D000077185;;Angina Pectoris;MESH:D000787;;PLAU;8.41;1;;;;;;;;;;;;;;
Androgens;D000728;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.41;1;;;;;;;;;;;;;;
biochanin A;C004541;491-80-5;Angina, Stable;MESH:D060050;;MMP9|TNF;8.41;1;;;;;;;;;;;;;;
HET0016;C000708209;;Pain;MESH:D010146;;NPPA|NPPB|POMC;8.41;5;;;;;;;;;;;;;;
Smoke;D012906;;Angina Pectoris;MESH:D000787;;PLAU;8.40;1;;;;;;;;;;;;;;
Croton Oil;D003436;8001-28-3;Angina, Stable;MESH:D060050;;MMP9|TNF;8.40;1;;;;;;;;;;;;;;
Irinotecan;D000077146;;Angina, Stable;MESH:D060050;;MMP9|TLR4|TNF;8.40;1;;;;;;;;;;;;;;
pimagedine;C004479;79-17-4;Angina, Stable;MESH:D060050;;MMP9|TNF;8.40;1;;;;;;;;;;;;;;
tofacitinib;C479163;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.40;1;;;;;;;;;;;;;;
Dexamethasone;D003907;50-02-2;Chest Pain;MESH:D002637;;CRH;8.40;1;;;;;;;;;;;;;;
acetovanillone;C056165;498-02-2;Pain;MESH:D010146;;AKT1|ALB|CSF2|EDN1|HTR1A|PLCB1|POMC|TNF;8.40;12;;;;;;;;;;;;;;
Ammonium Chloride;D000643;12125-02-9;Abdominal Pain;MESH:D015746;;IFNA2;8.39;1;;;;;;;;;;;;;;
Vorinostat;D000077337;;Headache;MESH:D006261;;IL6;8.39;1;;;;;;;;;;;;;;
Dopamine;D004298;51-61-6;Pain;MESH:D010146;;COMT|DISC1|DRD2|GCH1|GRIN1|HRH1|HTR3B|OPRK1|POMC|TAC1|TNF;8.39;15;;;;;;;;;;;;;;
alpha-cyano-(3;4-dihydroxy)-N-benzylcinnamide;C095512;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.38;1;;;;;;;;;;;;;
isoliquiritigenin;C040920;961-29-5;Angina, Stable;MESH:D060050;;MMP9|TNF;8.38;1;;;;;;;;;;;;;;
Pyruvaldehyde;D011765;78-98-8;Angina, Stable;MESH:D060050;;MMP9|TNF;8.38;1;;;;;;;;;;;;;;
Potassium Chloride;D011189;7447-40-7;Neuralgia;MESH:D009437;;CACNA2D1|SCN10A|TAC1|TNF;8.38;5;;;;;;;;;;;;;;
3;4-dihydroxybenzohydroxamic acid;C035419;69839-83-4;Pain;MESH:D010146;;AKT1|CSF2|CSF3|TNF;8.38;6;;;;;;;;;;;;;
Valproic Acid;D014635;99-66-1;Back Pain;MESH:D001416;;PLAT;8.37;1;;;;;;;;;;;;;;
Estrogens;D004967;;Musculoskeletal Pain;MESH:D059352;;COMT|ESR1;8.37;1;;;;;;;;;;;;;;
Amiloride;D000584;2609-46-3;Angina, Unstable;MESH:D000789;;CXCL8|PLAU;8.36;2;;;;;;;;;;;;;;
A-83-01;C507011;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.35;1;;;;;;;;;;;;;;
Carnitine;D002331;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.35;1;;;;;;;;;;;;;;
Hesperidin;D006569;520-26-3;Angina, Stable;MESH:D060050;;MMP9|TNF;8.35;1;;;;;;;;;;;;;;
MM-589;C000621807;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.35;1;;;;;;;;;;;;;;
PTC-209;C586999;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.35;1;;;;;;;;;;;;;;
Tartrazine;D013645;1934-21-0;Angina, Stable;MESH:D060050;;TLR4|TNF;8.35;1;;;;;;;;;;;;;;
Diethylnitrosamine;D004052;55-18-5;Musculoskeletal Pain;MESH:D059352;;COMT|ESR1|GCH1;8.35;1;;;;;;;;;;;;;;
2-(2-(4-heptylphenyl)ethyl)-6-hydroxy-benzoic acid;C000626478;;Neuralgia;MESH:D009437;;IL12B|TNF;8.35;2;;;;;;;;;;;;;;
Vaccines; Virus-Like Particle;D058425;;Neuralgia;MESH:D009437;;IL12B|TNF;8.35;2;;;;;;;;;;;;;
ceric oxide;C030583;1306-38-3;Angina, Stable;MESH:D060050;;MMP9|TNF;8.34;1;;;;;;;;;;;;;;
ferrous sulfate;C020748;;Angina, Stable;MESH:D060050;;TLR4|TNF;8.34;1;;;;;;;;;;;;;;
Androgen Antagonists;D000726;;Neuralgia;MESH:D009437;;CACNA2D1|CYP17A1|NTRK1;8.34;5;;;;;;;;;;;;;;
Mevalonic Acid;D008798;150-97-0;Angina, Stable;MESH:D060050;;MMP9|TNF;8.33;1;;;;;;;;;;;;;;
U 0126;C113580;;Musculoskeletal Pain;MESH:D059352;;COMT|ESR1;8.33;1;;;;;;;;;;;;;;
CTAP octapeptide;C529311;;Neuralgia;MESH:D009437;;OPRM1|TNF;8.33;3;;;;;;;;;;;;;;
Water;D014867;7732-18-5;Dysmenorrhea;MESH:D004412;;AVP|OXT;8.32;1;;;;;;;;;;;;;;
2;2';2''-trichlorotriethylamine;C009802;555-77-1;EPISODIC PAIN SYNDROME, FAMILIAL, 1;OMIM:615040;;TRPA1;8.32;1;;;;;;;;;;;;
2;3;4-tri-O-acetylarabinopyranosyl isothiocyanate;C041942;62414-75-9;EPISODIC PAIN SYNDROME, FAMILIAL, 1;OMIM:615040;;TRPA1;8.32;1;;;;;;;;;;;;
3;5-di-tert-butylphenol;C000622259;;EPISODIC PAIN SYNDROME, FAMILIAL, 1;OMIM:615040;;TRPA1;8.32;1;;;;;;;;;;;;;
4-(4-chlorophenyl)-3-methylbut-3-en-2-oxime;C000602225;;EPISODIC PAIN SYNDROME, FAMILIAL, 1;OMIM:615040;;TRPA1;8.32;1;;;;;;;;;;;;;;
4-anisaldehyde;C024896;123-11-5;EPISODIC PAIN SYNDROME, FAMILIAL, 1;OMIM:615040;;TRPA1;8.32;1;;;;;;;;;;;;;;
agathic acid;C110795;640-28-8;EPISODIC PAIN SYNDROME, FAMILIAL, 1;OMIM:615040;;TRPA1;8.32;1;;;;;;;;;;;;;;
bis(2-chloroethyl)ethylamine;C121482;538-07-8;EPISODIC PAIN SYNDROME, FAMILIAL, 1;OMIM:615040;;TRPA1;8.32;1;;;;;;;;;;;;;;
N-biotinylaminoethyl methanethiosulfonate;C419543;;EPISODIC PAIN SYNDROME, FAMILIAL, 1;OMIM:615040;;TRPA1;8.32;1;;;;;;;;;;;;;;
N-methylmaleimide;C527323;;EPISODIC PAIN SYNDROME, FAMILIAL, 1;OMIM:615040;;TRPA1;8.32;1;;;;;;;;;;;;;;
picrocrocin;C087962;;EPISODIC PAIN SYNDROME, FAMILIAL, 1;OMIM:615040;;TRPA1;8.32;1;;;;;;;;;;;;;;
aristolochic acid I;C000228;313-67-7;Angina Pectoris;MESH:D000787;;PLAU;8.31;1;;;;;;;;;;;;;;
3;3';4;5'-tetrahydroxystilbene;C041525;4339-71-3;Angina, Stable;MESH:D060050;;MMP9|TNF;8.31;1;;;;;;;;;;;
Bosentan;D000077300;147536-97-8;Angina, Stable;MESH:D060050;;TLR4|TNF;8.31;1;;;;;;;;;;;;;;
Galactosamine;D005688;7535-00-4;Angina, Stable;MESH:D060050;;TLR4|TNF;8.31;1;;;;;;;;;;;;;;
Bexarotene;D000077610;;Musculoskeletal Pain;MESH:D059352;;COMT|ESR1;8.31;1;;;;;;;;;;;;;;
Calcium Chloride;D002122;10043-52-4;Angina, Stable;MESH:D060050;;MMP9|TNF;8.30;1;;;;;;;;;;;;;;
3;4;5;4'-tetramethoxystilbene;C482492;;Angina, Unstable;MESH:D000789;;CXCL8|PLAU;8.30;2;;;;;;;;;;;
cariporide;C093373;;Pain;MESH:D010146;;EDN1|SLC9A1|TNF;8.30;5;;;;;;;;;;;;;;
Batrachotoxins;D001496;;Paroxysmal Extreme Pain Disorder;MESH:C563475;;SCN9A;8.30;3;;;;;;;;;;;;;;
brevetoxin 3;C546612;;Paroxysmal Extreme Pain Disorder;MESH:C563475;;SCN9A;8.30;3;;;;;;;;;;;;;;
AICA ribonucleotide;C031143;3031-94-5;Angina, Stable;MESH:D060050;;MMP9|TNF;8.29;1;;;;;;;;;;;;;;
Fungal Polysaccharides;D062610;;Angina, Stable;MESH:D060050;;TLR4|TNF;8.29;1;;;;;;;;;;;;;;
myricetin;C040015;529-44-2;Angina, Stable;MESH:D060050;;MMP9|TNF;8.29;1;;;;;;;;;;;;;;
Mirtazapine;D000078785;;Neuralgia;MESH:D009437;;HMGB1|HTR2C|TNF;8.29;3;;;;;;;;;;;;;;
tributyrin;C005830;60-01-5;Pain;MESH:D010146;;IL2|TNF|TRPA1;8.29;4;;;;;;;;;;;;;;
PCI 5002;C568608;;Angina, Unstable;MESH:D000789;;CXCL8|PAPPA|PLAU;8.28;3;;;;;;;;;;;;;;
Topotecan;D019772;123948-87-8;Headache;MESH:D006261;;IL6;8.28;1;;;;;;;;;;;;;;
hydroquinone;C031927;123-31-9;Angina, Stable;MESH:D060050;;MMP9|TLR4|TNF;8.27;1;;;;;;;;;;;;;;
N-(2-cyclohexyloxy-4-nitrophenyl)methanesulfonamide;C080955;123653-11-2;Angina, Stable;MESH:D060050;;MMP9|TNF;8.27;1;;;;;;;;;;;;;;
Colforsin;D005576;138605-00-2;Neuralgia;MESH:D009437;;CXCR4|CYP17A1|IL12B|TAC1|TNF;8.27;5;;;;;;;;;;;;;;
coenzyme Q10;C024989;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.26;1;;;;;;;;;;;;;;
Olive Oil;D000069463;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.26;1;;;;;;;;;;;;;;
2'-hydroxyflavanone;C520534;;Headache;MESH:D006261;;CSF3|IFNA2|IL6;8.26;3;;;;;;;;;;;;;;
5;10;15;20-tetrakis(4-sulfonatophenyl)porphyrinato iron(III) chloride;C466420;;Neuralgia;MESH:D009437;;HMGB1|TNF;8.26;2;;;;;;;;;;;
Barium;D001464;7440-39-3;Pain;MESH:D010146;;AVP|CACNA2D1|DRD2|OPRK1|PLCB1|TNF;8.26;8;;;;;;;;;;;;;;
Adenosine;D000241;58-61-7;Angina, Stable;MESH:D060050;;TLR4|TNF;8.25;1;;;;;;;;;;;;;;
Glupearl 19S;C000606994;;Pain;MESH:D010146;;ADM|CSF2|CSF3|EDN1|IL1RN|TNF;8.25;9;;;;;;;;;;;;;;
Mechlorethamine;D008466;;Neuralgia;MESH:D009437;;CXCR2|CXCR4|IL12B|TNF;8.24;3;;;;;;;;;;;;;;
Barium;D001464;7440-39-3;Neuralgia;MESH:D009437;;CACNA2D1|OPRM1|TNF;8.23;6;;;;;;;;;;;;;;
SZU-101;C000604281;;Neuralgia;MESH:D009437;;IL12B|TNF;8.23;2;;;;;;;;;;;;;;
Tin Fluorides;D014002;;Neuralgia;MESH:D009437;;IL12B|TNF;8.23;2;;;;;;;;;;;;;;
Erianin;C477638;;Angina, Stable;MESH:D060050;;TLR4|TNF;8.22;1;;;;;;;;;;;;;;
Blood Glucose;D001786;;Angina, Stable;MESH:D060050;;MMP9|TLR4|TNF;8.21;1;;;;;;;;;;;;;;
icariin;C056599;489-32-7;Angina, Stable;MESH:D060050;;MMP9|TNF;8.21;1;;;;;;;;;;;;;;
tephrosin;C480848;76-80-2;Pain;MESH:D010146;;AKT1|NRG1|TNF;8.20;4;;;;;;;;;;;;;;
4-hydroxy-2-nonenal;C027576;29343-52-0;Angina, Stable;MESH:D060050;;MMP9|TLR4|TNF;8.19;1;;;;;;;;;;;;;;
Glycosaminoglycans;D006025;;Neuralgia;MESH:D009437;;GFRA1|TNF;8.19;2;;;;;;;;;;;;;;
15-deoxy-delta(12;14)-prostaglandin J2;C097240;;Angina, Stable;MESH:D060050;;MMP9|TNF;8.18;1;;;;;;;;;;;;;
Budesonide;D019819;51333-22-3;Angina, Stable;MESH:D060050;;MMP9|TNF;8.18;1;;;;;;;;;;;;;;
Deoxyglucose;D003847;154-17-6;Angina, Stable;MESH:D060050;;MMP9|TNF;8.18;1;;;;;;;;;;;;;;
